UNITID,F1A13,F1A18
195058,81529270,-6822113
195322,40790590,-1222110
195827,1387421940,-683204289
195988,21825296,912350
196006,93879598,17006139
196015,93049314,6319014
196024,83683672,15310175
196033,80710321,15222387
196042,175997410,-8174778
196051,97955967,17334962
196060,535756225,98801483
196079,606314233,141586512
196088,1099144049,-57724356
196097,1769595819,351554174
196103,108104663,-3084422
196112,126566734,-44828114
196121,217932216,-662891
196130,250307648,12123373
196149,200451745,19512349
196158,173007275,33230853
196167,184666721,30007118
196176,257152015,1055643
196185,182566183,26747139
196194,258972108,33218757
196200,134387593,-5173693
196219,161888341,40794375
196228,57765634,68750350
196237,157991056,598202
196246,161139304,7922976
196255,804508694,-75987701
196264,83253862,-6918307
196291,96022015,8408767
196307,840130878,-32070857
196565,42736077,15403526
196699,37866843,-12116710
197027,,
197036,,
197294,178670798,31821210
197814,1463642,41282162
197850,1485393,22497073
197869,240866324,364325076
197887,5035658,74055878
197966,968105,17008527
198011,823938,9294396
198039,1360693,30941744
198084,846745,45341670
198118,2483429,40296639
198154,4681224,117855247
198206,1447753,26001842
198233,3689173,47371437
198251,4150558,40420145
198260,22679699,287293320
198321,2403714,23274392
198330,2253850,34768258
198367,2136604,38030198
198376,3448252,36184590
198455,2784159,44797882
198464,292414853,801748653
198491,2350092,19949705
198507,28957049,119840256
198534,4572180,91385718
198543,14157620,121275634
198552,5508499,69932962
198570,4144954,68045536
198622,5154422,176743441
198640,1094074,15945842
198668,1372527,33623405
198710,1693753,35151792
198729,1163868,10764518
198774,4949248,51881645
198817,2008420,34632747
198905,465567,9831881
198914,946110,15111665
198923,1508777,9643345
198987,1852929,39590609
199023,533196,8271752
199087,2277364,21294661
199102,39642819,358793914
199111,30651408,164542040
199120,2791887593,3711597694
199139,249074908,730472395
199148,193338972,581980413
199157,112378405,220037068
199175,14212117,138485432
199184,13715026,106903298
199193,680405650,1514253038
199218,262754668,351039403
199263,367249,8824375
199281,41634935,112694195
199324,1879015,14668247
199333,3178073,52224282
199421,1764222,25347823
199449,1565564,19847961
199467,747396,8458585
199476,1751286,25671923
199485,818531,20380407
199494,27070298,50920214
199625,1312918,15956483
199634,10947109,54752730
199722,2256035,17533904
199731,2014032,27679858
199740,2021291,12494464
199768,1780016,28718508
199786,1462944,33140095
199795,589061,8546818
199838,2465556,33899997
199856,8206962,155199520
199892,1541011,33903506
199908,1492846,18162081
199926,3232328,31901874
199953,827085,14426845
199999,79881961,121411044
200004,110460998,311589894
200022,11239160,31785203
200059,3040748,46942337
200086,1976545,8631825
200192,2868124,6595987
200208,398219,12637307
200226,15127649,11493176
200253,23991644,74676380
200280,149385150,351910110
