UNITID,EFFYLEV,EFYTOTLT
133155,2,1035
133386,1,25231
133386,2,25231
133465,1,1744
133465,2,1632
133465,4,112
133492,1,2800
133492,2,2800
133508,1,24097
133508,2,24097
133526,1,903
133526,2,903
133553,1,5639
133553,2,4956
133553,4,683
133650,1,14702
133650,2,12461
133650,4,2241
133669,1,36164
133669,2,29230
133669,4,6934
133702,1,49670
133702,2,49670
133711,1,2962
133711,2,2962
133809,1,497
133809,2,497
133845,1,655
133845,2,655
133854,1,634
133854,2,634
133863,1,607
133863,2,607
133872,1,3527
133872,2,3459
133872,4,68
133881,1,14649
133881,2,9641
133881,4,5008
133942,1,87
133942,2,87
133951,1,56288
133951,2,44972
133951,4,11316
133960,1,2183
133960,2,2183
133979,1,2273
133979,2,2201
133979,4,72
133997,1,9445
133997,2,9445
134024,1,270
134024,2,270
134079,1,3398
134079,2,3192
